source	 target
24	462
288	519
288	507
288	824
288	554
336	562
336	338
336	944
336	479
565	740
565	784
76	789
76	766
321	582
321	669
321	625
321	358
321	42
502	627
332	849
332	797
332	796
332	628
623	950
623	797
623	658
623	811
623	68
623	664
161	896
161	806
161	938
161	413
746	941
746	764
387	582
387	896
387	574
387	898
873	880
853	883
11	291
11	860
11	837
11	275
663	740
663	987
663	893
508	998
508	74
508	930
508	843
508	813
335	732
335	49
335	660
335	397
335	451
335	448
335	612
713	811
713	997
713	78
23	965
23	781
400	559
400	675
400	814
400	487
400	919
400	618
323	508
323	49
323	568
323	880
884	896
729	816
610	945
610	683
610	664
110	290
110	735
110	396
110	942
886	949
639	773
639	672
639	78
357	510
357	749
357	571
357	6
357	496
357	938
261	357
261	277
261	359
261	857
261	984
261	664
261	369
272	6
272	395
510	979
510	965
510	834
510	833
673	765
673	871
673	827
673	699
100	907
100	942
100	891
523	998
523	687
725	805
725	899
214	744
214	456
214	532
214	91
214	990
214	879
539	800
539	653
539	640
361	72
361	625
361	722
361	772
416	72
416	998
416	817
478	993
478	72
478	946
478	81
478	710
545	72
670	72
670	82
741	904
353	998
353	991
186	759
186	935
186	691
186	58
186	379
186	412
186	275
186	890
186	839
5	851
5	723
181	221
181	195
181	549
181	530
181	79
181	315
181	878
181	303
181	887
181	662
334	979
334	75
334	79
334	660
334	403
198	357
198	637
198	573
198	761
198	925
198	424
374	931
374	768
374	603
374	903
759	911
801	834
386	858
386	929
949	964
770	916
0	709
765	787
765	813
765	824
516	886
516	912
516	772
516	675
158	353
158	723
158	360
158	344
158	617
158	3
158	986
217	301
217	777
217	650
345	969
345	939
345	388
841	865
952	965
476	480
476	638
476	600
871	912
377	57
377	591
182	274
182	9
182	811
182	869
588	960
320	831
320	434
320	689
320	846
320	992
320	447
540	679
143	476
143	347
143	890
221	588
221	480
221	384
758	931
646	998
646	928
517	730
517	998
517	911
517	645
28	466
28	694
71	939
71	718
596	752
445	998
445	704
445	567
215	884
215	539
215	224
215	819
215	669
215	708
215	562
215	72
215	857
874	896
874	912
874	888
866	885
712	778
712	904
712	850
391	465
114	673
114	148
114	274
114	622
114	352
114	828
114	306
784	931
784	796
784	81
385	732
385	533
385	778
385	944
385	443
27	454
27	938
27	987
27	77
27	890
27	459
27	333
370	681
370	593
370	762
195	290
195	360
195	431
195	297
533	640
64	950
64	656
64	911
64	847
40	455
454	637
526	998
526	648
526	723
12	866
12	309
12	453
12	72
12	89
12	943
12	144
12	687
258	745
258	389
258	912
258	295
969	998
30	98
30	530
30	723
30	94
773	996
773	778
147	640
147	864
147	494
415	72
415	6
415	751
415	930
582	659
631	681
631	950
113	476
113	549
113	324
113	743
571	600
571	960
223	357
223	370
223	917
223	689
223	907
223	275
223	494
223	364
309	681
309	43
692	85
692	992
692	738
14	997
14	343
14	35
14	999
698	924
698	777
435	699
435	923
317	593
317	94
317	573
599	99
599	898
599	914
599	895
599	921
351	936
351	441
351	554
178	740
178	59
178	313
178	926
178	699
178	303
224	311
224	496
224	535
224	316
224	803
224	651
224	410
676	819
676	926
933	959
174	386
174	59
174	83
174	590
174	719
174	699
402	540
402	776
402	750
127	422
127	582
127	531
127	820
127	811
127	573
127	316
702	758
50	599
50	728
50	905
455	76
455	542
455	679
455	672
641	751
206	454
206	312
206	961
206	807
206	470
206	463
365	625
365	778
365	605
229	59
229	879
229	558
229	624
283	909
283	594
145	730
145	146
145	342
145	762
145	479
145	173
731	949
731	855
718	924
367	976
367	516
367	589
367	846
367	550
367	738
967	976
112	692
112	94
112	894
112	885
501	560
62	933
62	851
62	835
62	997
41	685
41	717
41	818
41	927
41	913
724	860
745	890
745	803
159	533
159	589
159	448
218	374
218	740
218	712
218	631
218	89
218	649
851	975
128	157
128	522
128	558
128	664
549	841
549	780
609	637
609	902
829	885
829	902
249	386
249	463
593	94
593	710
669	835
708	964
708	950
562	853
562	563
715	912
715	808
389	516
389	827
389	918
389	568
774	93
950	994
383	536
383	434
383	89
383	91
383	77
383	942
383	764
136	99
136	19
136	590
136	32
136	828
136	37
559	668
559	843
148	385
148	206
148	54
233	94
233	310
233	806
505	981
219	582
219	360
219	543
536	59
536	581
536	932
452	633
347	764
901	949
426	637
426	699
426	430
560	570
560	737
239	445
239	656
239	845
239	509
239	828
49	713
105	853
105	896
105	525
105	433
105	806
105	811
411	770
411	744
411	797
411	558
411	451
411	677
411	651
411	714
411	983
542	619
831	842
314	947
314	371
314	595
314	318
394	680
394	597
394	509
394	618
20	785
20	518
20	356
20	66
20	349
20	512
816	959
816	842
816	995
816	880
816	878
75	842
530	718
530	708
530	935
530	616
530	94
530	632
530	834
327	924
327	935
327	33
327	340
327	474
327	814
327	522
327	761
327	695
327	750
457	832
457	868
457	738
457	748
26	671
26	527
26	622
26	944
453	656
453	527
642	656
642	697
642	930
642	914
473	762
162	935
162	780
162	900
162	180
162	36
519	842
519	677
756	908
756	819
756	797
756	762
730	797
730	919
462	785
237	462
237	671
237	576
237	955
237	70
237	253
237	296
237	607
237	679
237	72
785	915
785	862
132	462
132	896
132	456
132	998
132	626
432	452
432	462
432	449
432	788
330	462
330	608
330	654
330	587
330	648
671	704
230	49
230	237
230	656
230	842
230	935
230	625
576	648
576	685
576	59
576	589
576	805
955	963
70	963
70	823
70	956
253	302
253	551
253	859
253	73
296	375
296	300
296	797
296	798
296	723
607	681
679	924
679	933
679	731
72	741
72	866
72	934
896	964
456	849
456	729
456	993
456	725
456	947
626	993
626	829
626	922
626	7
190	415
190	26
190	432
190	658
244	432
244	375
244	61
244	680
449	931
449	597
449	752
319	432
319	917
319	583
260	432
260	637
260	79
260	941
260	338
260	6
260	860
788	917
788	830
608	70
608	963
608	916
654	969
587	876
648	7
648	660
541	785
541	830
541	552
541	870
541	616
541	778
52	785
52	912
52	936
243	785
243	94
243	99
243	301
243	268
243	305
469	785
469	994
862	995
438	785
438	985
438	826
17	415
17	785
17	660
17	83
17	485
17	529
17	606
17	620
548	671
548	799
704	87
111	841
111	952
111	454
111	258
111	582
111	671
111	388
291	565
291	732
291	770
291	385
291	671
625	853
625	827
625	988
625	744
625	680
685	704
685	881
59	702
59	678
589	98
480	610
480	744
480	576
480	795
480	566
480	570
805	952
63	955
63	637
